BookID,Title,Author,Genre,Price,PublishDate,CopiesAvailable
125,The Fascinating Mystery,David Williams,Mystery,21.1,03-03-85,17
126,The Intriguing Mystery,Sarah Brown,Non-Fiction,18.91,07-09-58,13
127,The Amazing Adventure,David Brown,Mystery,49.81,07-08-03,8
128,The Mysterious Saga,David Brown,Science Fiction,28.26,10-17-10,20
129,The Amazing Adventure,Alice Garcia,History,21.66,03-03-74,4
130,The Wonderful Adventure,Jane Brown,Non-Fiction,30.03,12-03-54,1
131,The Mysterious Mystery,Jane Smith,History,16.3,02-13-68,3
132,The Mysterious Adventure,Emily Garcia,Non-Fiction,20.09,03-17-29,1
133,The Mysterious Story,Alice Davis,Fantasy,33.44,04-17-61,2
134,The Intriguing Tale,Jane Brown,Non-Fiction,30.48,04-10-24,2
135,The Wonderful Journey,Sarah Miller,Fiction,39.12,06-30-62,20
136,The Intriguing Adventure,Michael Garcia,Non-Fiction,8.08,06-03-03,1
137,The Intriguing Adventure,Sarah Smith,Non-Fiction,7.39,07-29-41,19
138,The Wonderful Adventure,David Jones,Science Fiction,27.4,11-17-97,19
139,The Amazing Saga,David Davis,Fiction,26.36,02-16-55,19
140,The Intriguing Story,Sarah Davis,Science Fiction,13.05,01-02-18,8
141,The Mysterious Mystery,David Miller,Fantasy,37.41,02-20-81,19
142,The Amazing Journey,Sarah Garcia,Fiction,9.31,05-18-39,3
143,The Mysterious Mystery,David Jones,Science Fiction,37.65,06-13-24,2
144,The Mysterious Saga,Alice Garcia,Non-Fiction,32.89,01-19-58,2
145,The Intriguing Tale,Bob Brown,History,5.57,03-23-41,18
146,The Intriguing Story,John Williams,Fiction,13.93,06-27-45,17
147,The Fascinating Saga,Michael Miller,Science Fiction,42.99,04-20-02,5
148,The Amazing Saga,Alice Jones,History,15.93,10-04-30,5
149,The Boring Mystery,Michael Garcia,History,39.62,08-13-03,1
150,The Mysterious Story,Emily Williams,Mystery,47.75,02-24-23,15
151,The Mysterious Mystery,Jane Brown,Science Fiction,47.64,01-19-22,5
152,The Fascinating Journey,David Miller,History,23.55,01-04-00,19
153,The Mysterious Journey,Jane Davis,Fiction,9.41,11-19-16,17
154,The Wonderful Journey,Michael Miller,Non-Fiction,11.96,03-23-04,1
155,The Amazing Journey,David Miller,Mystery,33.14,11-22-81,8
156,The Amazing Adventure,David Davis,Fiction,37.46,03-06-24,13
157,The Fascinating Story,Emily Williams,Fiction,21.87,08-04-80,4
158,The Wonderful Adventure,Emily Jones,Biography,26.09,03-18-32,8
159,The Fascinating Story,Sarah Davis,Science Fiction,39.76,04-11-49,1
160,The Fascinating Tale,Emily Davis,Non-Fiction,47.65,07-21-22,3
161,The Boring Mystery,Bob Jones,Science Fiction,34.07,11-27-66,9
162,The Amazing Story,Emily Williams,History,46.16,06-17-15,18
163,The Boring Story,Bob Miller,Mystery,43.9,05-26-23,8
164,The Wonderful Adventure,Emily Garcia,Fiction,26.98,11-07-33,17
165,The Amazing Tale,Jane Brown,Mystery,34.51,10-14-06,6
166,The Boring Story,Bob Miller,Fantasy,35.31,05-23-54,6
167,The Boring Journey,Emily Brown,Non-Fiction,33.06,06-21-03,12
168,The Boring Journey,Bob Brown,Non-Fiction,48.42,12-05-30,9
169,The Fascinating Tale,Michael Johnson,Fantasy,24.99,07-04-25,11
170,The Fascinating Tale,John Garcia,Mystery,18.27,07-31-88,2
171,The Amazing Mystery,John Smith,Fiction,11.37,05-24-13,14
172,The Wonderful Adventure,Emily Williams,Biography,24.96,08-28-55,3
173,The Mysterious Mystery,Michael Garcia,Mystery,42,04-23-17,9
174,The Mysterious Story,Emily Brown,Fantasy,21.84,12-08-01,5
175,The Mysterious Journey,Michael Brown,Fantasy,6.12,02-06-38,20
176,The Boring Saga,Emily Brown,Non-Fiction,45.91,07-30-96,8
177,The Amazing Adventure,Emily Brown,Fantasy,8.68,09-09-16,14
178,The Wonderful Story,Michael Smith,Fiction,12.8,04-08-21,18
179,The Intriguing Adventure,Sarah Johnson,Mystery,21.27,11-23-14,14
180,The Intriguing Mystery,Sarah Williams,Non-Fiction,45.58,03-18-81,4
181,The Intriguing Mystery,Jane Smith,Non-Fiction,10.46,10-10-27,19
182,The Boring Tale,Emily Jones,Science Fiction,21.43,02-27-41,15
183,The Mysterious Story,Alice Smith,History,44.88,04-12-97,7
184,The Wonderful Mystery,Alice Williams,Fiction,6.34,06-28-90,10
185,The Intriguing Saga,Bob Garcia,Biography,33.61,10-21-03,19
186,The Boring Saga,David Brown,Fiction,42.16,06-12-23,13
187,The Mysterious Adventure,Alice Brown,Fantasy,8.8,04-28-31,16
188,The Fascinating Tale,David Smith,Biography,31.23,09-05-04,1
189,The Boring Tale,Michael Garcia,Biography,49.04,10-23-70,3
190,The Intriguing Tale,John Smith,Science Fiction,39.89,11-29-65,15
191,The Mysterious Saga,Alice Garcia,Science Fiction,37.27,06-06-80,3
192,The Mysterious Adventure,Jane Miller,Non-Fiction,28.15,09-18-60,9
193,The Mysterious Story,Emily Brown,Fantasy,38.33,01-08-26,13
194,The Wonderful Journey,Michael Jones,Fantasy,37.49,06-16-01,5
195,The Wonderful Saga,Alice Jones,Biography,7.19,11-08-16,7
196,The Wonderful Story,Sarah Williams,History,18.47,11-27-48,8
197,The Mysterious Tale,Alice Williams,Fiction,45.03,03-09-44,15
198,The Amazing Journey,Jane Jones,Biography,29.07,05-07-12,16
199,The Fascinating Mystery,Emily Brown,Fiction,36.04,03-24-68,1
200,The Wonderful Tale,Alice Garcia,Mystery,29.68,04-03-37,2
201,The Mysterious Saga,Alice Williams,History,13.77,01-22-16,10
202,The Mysterious Saga,Sarah Smith,Non-Fiction,28.55,10-28-61,6
203,The Fascinating Story,Jane Williams,Mystery,15.47,11-26-34,14
204,The Amazing Adventure,David Davis,Biography,30.5,11-23-01,7
205,The Boring Journey,Michael Williams,Mystery,15.32,03-09-46,4
206,The Boring Journey,Michael Smith,Non-Fiction,28.11,03-12-68,1
207,The Wonderful Tale,Michael Garcia,History,36.82,08-03-31,19
208,The Mysterious Story,David Davis,Fantasy,42.63,04-21-63,12
209,The Amazing Story,Alice Miller,Science Fiction,9,06-26-58,16
210,The Amazing Saga,Jane Johnson,Science Fiction,43.15,01-20-10,1
211,The Mysterious Journey,John Smith,Non-Fiction,18.41,08-17-89,4
212,The Mysterious Adventure,Alice Jones,Biography,19.79,05-08-07,10
213,The Wonderful Story,Bob Miller,Non-Fiction,35.09,06-08-35,7
214,The Amazing Journey,Sarah Johnson,Non-Fiction,9.27,03-28-78,10
215,The Boring Adventure,Michael Garcia,Fantasy,45.91,05-19-61,8
216,The Fascinating Tale,Michael Davis,Mystery,14.68,04-27-63,3
217,The Wonderful Story,Alice Smith,Non-Fiction,44.74,12-01-37,2
218,The Intriguing Tale,Michael Williams,Biography,39.04,12-02-99,16
219,The Fascinating Tale,Emily Garcia,Mystery,6.17,11-17-00,15
220,The Wonderful Adventure,Michael Brown,Fantasy,30.58,04-10-43,19
221,The Fascinating Story,Bob Johnson,History,39.93,09-21-15,14
222,The Intriguing Adventure,Alice Brown,Mystery,48.75,02-09-40,14
223,The Intriguing Mystery,Jane Jones,History,11,11-29-44,14
224,The Fascinating Story,Bob Brown,Fiction,11.59,10-11-81,18
225,The Fascinating Tale,John Johnson,Science Fiction,28.09,06-03-21,9
226,The Fascinating Saga,Sarah Miller,Science Fiction,35.61,03-14-21,1
227,The Wonderful Adventure,Bob Johnson,Fantasy,13.58,09-16-97,18
228,The Wonderful Saga,Sarah Miller,Science Fiction,32.85,08-30-29,5
229,The Intriguing Mystery,David Jones,Fiction,38.1,08-23-13,3
230,The Mysterious Story,David Garcia,Non-Fiction,27.02,09-13-81,14
231,The Fascinating Adventure,David Johnson,Science Fiction,21.66,11-14-28,6
232,The Boring Adventure,Emily Davis,Biography,11.94,04-10-77,9
233,The Boring Journey,Sarah Williams,Biography,32.81,06-15-49,17
234,The Wonderful Tale,Alice Williams,Science Fiction,45.15,02-29-08,17
235,The Amazing Story,Alice Brown,Science Fiction,15.29,09-11-23,15
236,The Fascinating Mystery,Jane Davis,History,24.74,07-15-11,3
237,The Mysterious Adventure,Jane Garcia,Mystery,20.06,10-05-09,4
238,The Wonderful Adventure,John Williams,Mystery,7.67,11-14-72,18
239,The Intriguing Adventure,Alice Garcia,Fantasy,37.17,05-06-02,11
240,The Mysterious Journey,Sarah Williams,History,11.34,04-20-10,20
241,The Amazing Journey,Michael Williams,Biography,33.18,03-17-65,6
242,The Amazing Mystery,Alice Smith,Non-Fiction,23.75,09-24-15,2
243,The Boring Mystery,Michael Smith,Mystery,27.58,12-05-22,5
244,The Intriguing Saga,John Smith,Non-Fiction,18.91,10-28-34,12
245,The Mysterious Mystery,David Williams,History,13.33,01-18-37,19
246,The Wonderful Mystery,Michael Johnson,History,45.34,04-27-84,4
247,The Intriguing Story,David Smith,Non-Fiction,46.48,11-19-55,14
248,The Mysterious Adventure,Sarah Garcia,Biography,15.68,01-27-85,5
249,The Boring Saga,Emily Jones,Mystery,16.13,11-10-99,5
250,The Wonderful Saga,Alice Miller,Fiction,13.89,04-23-07,4
251,The Intriguing Adventure,David Johnson,Non-Fiction,25.66,04-05-07,16
252,The Fascinating Mystery,Emily Johnson,Biography,10.64,01-16-39,3
253,The Boring Saga,Alice Smith,Science Fiction,11.27,09-17-57,4
254,The Mysterious Journey,David Johnson,History,26.73,08-30-05,11
255,The Mysterious Journey,Bob Williams,Biography,10.66,02-12-07,9
256,The Wonderful Journey,Bob Johnson,Science Fiction,19.19,07-28-12,2
257,The Amazing Story,David Davis,Mystery,22.34,01-27-36,6
258,The Mysterious Mystery,Bob Miller,Biography,39.67,01-14-97,8
259,The Intriguing Adventure,Jane Jones,History,37.57,11-12-04,11
260,The Mysterious Adventure,Sarah Miller,Mystery,38.66,05-16-75,13
261,The Amazing Saga,Emily Smith,Biography,39.03,06-03-47,7
262,The Boring Mystery,Sarah Davis,Science Fiction,43.78,10-15-55,15
263,The Amazing Saga,Bob Garcia,Science Fiction,29.05,10-24-08,12
264,The Intriguing Journey,John Garcia,Non-Fiction,25.1,06-24-30,18
265,The Intriguing Saga,Jane Garcia,Mystery,46.77,10-12-22,15
266,The Amazing Mystery,Emily Garcia,Fantasy,39.86,12-29-36,15
267,The Boring Story,John Miller,Science Fiction,11.27,06-09-27,16
268,The Fascinating Tale,John Williams,History,38.68,09-05-08,4
269,The Mysterious Story,Michael Brown,Fantasy,47.9,01-31-00,2
270,The Boring Mystery,Jane Smith,History,36.12,05-24-18,11
271,The Wonderful Story,David Miller,Non-Fiction,10.94,06-27-56,18
272,The Boring Adventure,Michael Williams,History,43.38,02-22-23,9
273,The Fascinating Mystery,David Smith,Fiction,36.98,12-23-25,9
274,The Amazing Mystery,John Miller,Mystery,23.22,09-24-24,12
275,The Wonderful Adventure,John Johnson,Mystery,49.86,11-18-60,12
276,The Amazing Mystery,Jane Miller,Mystery,29.74,04-07-86,9
277,The Fascinating Mystery,Jane Brown,Fantasy,43.72,02-25-70,9
278,The Wonderful Story,Sarah Williams,Science Fiction,27.83,02-26-50,9
279,The Amazing Adventure,Jane Williams,Fantasy,24.5,12-04-35,19
280,The Wonderful Story,Alice Miller,Fantasy,32.9,10-07-73,7
281,The Fascinating Adventure,Sarah Miller,Science Fiction,23.07,10-17-49,8
282,The Wonderful Mystery,John Brown,Mystery,7.73,03-06-80,6
283,The Boring Saga,Michael Johnson,Non-Fiction,45.81,12-30-34,11
284,The Fascinating Saga,Alice Davis,Science Fiction,41.55,06-23-98,13
285,The Amazing Tale,Alice Garcia,Fantasy,27.93,05-02-96,15
286,The Fascinating Journey,John Davis,Fiction,44.93,03-23-17,16
287,The Intriguing Adventure,Jane Johnson,Fiction,12.81,12-04-20,2
288,The Amazing Story,Jane Johnson,Non-Fiction,8.62,10-09-37,12
289,The Mysterious Saga,David Jones,Fiction,15.17,02-10-49,7
290,The Intriguing Adventure,David Johnson,Non-Fiction,39.94,09-17-70,20
291,The Amazing Story,John Miller,History,26.71,12-05-44,18
292,The Mysterious Story,Bob Smith,Non-Fiction,16.19,06-19-60,10
293,The Wonderful Saga,Jane Garcia,Biography,28.1,10-08-07,2
294,The Amazing Mystery,Bob Miller,History,31.77,11-22-96,8
295,The Fascinating Saga,Alice Jones,History,27.91,09-21-99,5
296,The Fascinating Adventure,Bob Garcia,Science Fiction,6.79,06-09-60,1
297,The Wonderful Tale,John Williams,Mystery,44.18,04-12-13,18
298,The Intriguing Saga,John Smith,Fantasy,18.65,09-29-69,11
299,The Boring Story,Bob Smith,Science Fiction,37.72,01-10-13,14
300,The Amazing Saga,Jane Jones,Biography,28.72,10-13-05,8
301,The Intriguing Story,Jane Miller,Mystery,31.25,07-05-96,6
302,The Fascinating Saga,David Garcia,Non-Fiction,33.46,03-21-23,8
303,The Amazing Journey,Sarah Johnson,Mystery,40.9,07-29-20,18
304,The Mysterious Adventure,Sarah Davis,Non-Fiction,27.84,09-09-98,19
305,The Amazing Story,Emily Jones,Biography,13.01,11-11-57,10
306,The Intriguing Tale,John Smith,Biography,9.47,09-04-47,14
307,The Mysterious Mystery,Emily Johnson,Science Fiction,42.25,03-01-24,16
308,The Boring Adventure,David Smith,Science Fiction,46.04,09-23-34,3
309,The Fascinating Saga,Jane Smith,Biography,11.8,02-26-33,9
310,The Mysterious Story,Alice Williams,Fantasy,6.1,09-28-57,12
311,The Wonderful Mystery,David Williams,Science Fiction,17.62,03-10-88,13
312,The Wonderful Adventure,Sarah Williams,Biography,15.17,03-31-11,2
313,The Amazing Tale,Michael Williams,Mystery,40.27,11-28-13,6
314,The Amazing Tale,Jane Johnson,Non-Fiction,5.91,07-10-09,17
315,The Wonderful Story,Sarah Smith,History,28.97,11-02-24,1
316,The Wonderful Story,David Johnson,Science Fiction,37.16,05-19-22,19
317,The Fascinating Tale,Sarah Miller,History,11.1,07-25-92,9
318,The Boring Tale,John Brown,Mystery,35.61,08-30-05,19
319,The Amazing Saga,David Jones,Non-Fiction,39.94,03-13-22,13
320,The Amazing Tale,Jane Smith,Fiction,19.63,10-30-96,9
321,The Mysterious Mystery,David Garcia,Non-Fiction,15.58,05-24-99,5
322,The Wonderful Saga,John Jones,Science Fiction,33.2,12-31-36,4
323,The Boring Adventure,John Johnson,History,18.72,03-13-38,2
324,The Wonderful Saga,Sarah Jones,Mystery,43.32,07-24-11,13
325,The Wonderful Saga,Jane Miller,Science Fiction,8.92,06-04-67,7
326,The Intriguing Mystery,Michael Jones,Fantasy,44.49,02-22-18,7
327,The Fascinating Story,Emily Smith,Fiction,6.44,12-30-01,8
328,The Fascinating Story,David Johnson,Biography,24.8,03-15-31,9
329,The Fascinating Adventure,John Miller,History,26.3,08-25-40,2
330,The Wonderful Mystery,Bob Garcia,Biography,22.22,05-17-26,11
331,The Boring Journey,Jane Johnson,History,41.48,11-27-12,5
332,The Boring Tale,John Jones,History,17.61,02-03-10,8
333,The Intriguing Mystery,Jane Johnson,Mystery,10.27,05-18-16,11
334,The Intriguing Journey,David Jones,History,6.68,05-17-52,13
335,The Amazing Tale,Bob Brown,Fantasy,12.77,12-29-13,11
336,The Mysterious Mystery,Bob Williams,Science Fiction,30.86,04-07-31,5
337,The Intriguing Journey,John Jones,Science Fiction,14.08,02-03-65,14
338,The Wonderful Saga,Jane Garcia,Fiction,48.7,02-08-37,20
339,The Boring Story,Emily Miller,Non-Fiction,49.75,11-28-35,4
340,The Fascinating Adventure,Alice Jones,Fiction,34.1,05-16-38,3
341,The Boring Mystery,Jane Johnson,Fantasy,8.09,07-26-32,18
342,The Wonderful Saga,Jane Brown,Non-Fiction,46.88,10-10-76,11
343,The Intriguing Journey,John Williams,History,24.32,08-25-19,2
344,The Amazing Story,Michael Miller,Mystery,37.2,04-21-41,4
345,The Wonderful Saga,Bob Garcia,Non-Fiction,30.93,05-11-23,4
346,The Intriguing Saga,Alice Brown,Non-Fiction,39.13,05-24-76,19
347,The Wonderful Story,Emily Williams,Mystery,44.34,06-16-99,15
348,The Fascinating Saga,Jane Garcia,Fantasy,7.35,01-31-46,5
349,The Intriguing Mystery,Alice Miller,Fiction,8.19,05-03-18,13
350,The Intriguing Saga,Emily Johnson,Science Fiction,10.53,12-13-08,11
351,The Fascinating Story,John Williams,Mystery,28.38,12-21-05,11
352,The Wonderful Saga,Michael Brown,Biography,45.75,04-11-73,7
353,The Amazing Adventure,John Williams,Fiction,17.58,01-12-99,19
354,The Boring Story,Bob Davis,Science Fiction,44.08,09-27-20,12
355,The Boring Adventure,David Garcia,Non-Fiction,42.25,01-28-99,14
356,The Wonderful Adventure,Emily Williams,History,18.4,04-16-95,12
357,The Amazing Saga,Bob Miller,Fiction,33.22,08-14-75,4
358,The Wonderful Tale,Bob Smith,Fantasy,45.07,11-15-45,8
359,The Fascinating Tale,Bob Davis,Mystery,45.28,01-29-57,3
360,The Wonderful Adventure,John Jones,History,14.69,08-26-62,13
361,The Intriguing Adventure,Jane Johnson,Science Fiction,32.36,11-03-15,17
362,The Intriguing Journey,Emily Davis,Fantasy,19.92,05-29-12,4
363,The Boring Story,Sarah Davis,Mystery,11.44,08-15-93,12
364,The Intriguing Story,Bob Jones,Biography,46.31,04-16-39,7
365,The Boring Journey,Jane Brown,Fantasy,42.97,02-25-23,14
366,The Wonderful Story,Emily Jones,Fiction,28.66,12-13-45,18
367,The Intriguing Adventure,Michael Jones,Science Fiction,24.69,08-27-05,10
368,The Fascinating Adventure,Alice Davis,Fantasy,46.42,11-24-74,11
369,The Intriguing Tale,Jane Garcia,Science Fiction,7.06,02-13-66,18
370,The Boring Saga,Emily Garcia,Mystery,24.97,11-09-44,1
371,The Wonderful Saga,Sarah Garcia,Mystery,31.69,07-10-39,20
372,The Mysterious Adventure,Bob Garcia,Science Fiction,19.66,09-18-46,14
373,The Wonderful Mystery,Jane Miller,Fantasy,24.92,06-11-05,17
374,The Mysterious Adventure,Sarah Garcia,History,22.93,04-30-55,15
375,The Fascinating Journey,David Miller,Science Fiction,18.77,03-24-01,15
376,The Intriguing Journey,John Garcia,Fiction,49.79,06-30-27,15
377,The Intriguing Story,Sarah Williams,Non-Fiction,43.04,04-21-49,12
378,The Boring Adventure,Bob Miller,Fiction,39.33,07-29-59,15
379,The Intriguing Adventure,John Williams,Fantasy,42.55,05-07-21,4
380,The Mysterious Mystery,Emily Johnson,History,37.63,04-14-49,19
381,The Wonderful Adventure,Emily Garcia,Mystery,49.6,02-03-49,15
382,The Wonderful Story,Bob Williams,History,17.99,11-03-26,18
383,The Amazing Adventure,Bob Smith,Fiction,43.04,08-14-80,3
384,The Fascinating Tale,Michael Smith,Fiction,35.98,01-08-20,13
385,The Boring Adventure,Emily Miller,History,36.43,05-17-79,2
386,The Intriguing Story,Jane Johnson,Fiction,13.68,03-08-75,11
387,The Mysterious Tale,John Garcia,Science Fiction,41.08,08-05-43,20
388,The Amazing Saga,Alice Brown,Non-Fiction,17.85,12-29-22,11
