TransactionID,UserID,BookID,BorrowDate,ReturnDate,LateFee
171,4,318,04-22-24,05-18-24,
172,196,101,01-04-24,01-09-24,3.97
173,69,383,04-16-24,05-03-24,
174,410,187,09-25-24,10-08-24,
175,331,125,09-15-24,09-24-24,
176,31,119,05-04-24,05-21-24,
177,334,390,02-17-24,03-03-24,
178,149,343,04-12-24,05-04-24,
179,62,142,04-04-24,04-12-24,
180,177,237,04-28-24,05-18-24,
181,366,108,04-08-24,04-30-24,
182,370,353,05-26-24,06-20-24,4.64
183,473,206,01-09-24,01-25-24,
184,392,341,03-06-24,03-29-24,0.41
185,389,342,01-27-24,02-23-24,
186,50,393,06-23-24,07-09-24,2.19
187,109,135,04-09-24,04-18-24,
188,231,185,05-25-24,06-13-24,
189,272,320,02-24-24,03-15-24,
190,55,296,03-19-24,04-08-24,
191,29,352,04-05-24,,
192,355,399,06-12-24,07-11-24,
193,438,124,09-16-24,09-24-24,
194,271,336,09-05-24,09-14-24,
195,114,159,05-27-24,06-22-24,
196,216,186,08-09-24,09-07-24,0.9
197,191,366,02-03-24,02-28-24,
198,23,127,06-30-24,,
199,464,228,02-03-24,02-21-24,
200,261,283,04-27-24,05-12-24,1.64
201,117,328,05-15-24,06-02-24,0.86
202,415,354,09-20-24,,
203,59,162,08-26-24,09-05-24,
204,191,155,09-28-24,10-09-24,
205,226,201,08-02-24,08-16-24,
206,435,397,06-09-24,06-14-24,
207,422,214,05-04-24,05-11-24,
208,226,277,02-12-24,03-02-24,
209,116,157,01-27-24,02-20-24,2.68
210,154,264,08-05-24,08-23-24,
211,4,322,07-18-24,,
212,134,253,04-08-24,,
213,456,396,08-04-24,08-29-24,
214,198,194,03-31-24,04-12-24,
215,103,107,09-10-24,10-01-24,
216,337,354,09-25-24,10-18-24,
217,127,207,08-07-24,08-21-24,
218,25,267,09-08-24,10-02-24,
219,211,222,01-03-24,01-17-24,
220,331,188,01-30-24,02-19-24,
221,127,150,02-26-24,03-12-24,
222,18,202,01-04-24,01-25-24,
223,500,250,05-08-24,05-21-24,
224,262,103,09-20-24,10-02-24,
225,201,218,08-04-24,08-28-24,
226,218,244,08-19-24,08-26-24,2.08
227,414,167,02-28-24,03-25-24,0.38
228,65,137,09-04-24,09-26-24,
229,402,259,08-16-24,,
230,200,252,04-08-24,05-01-24,
231,438,379,08-06-24,,
232,230,391,07-27-24,08-26-24,
233,343,289,05-20-24,06-05-24,
234,111,162,09-30-24,10-05-24,
235,398,360,09-18-24,10-12-24,
236,379,193,05-29-24,06-11-24,
237,289,193,03-27-24,04-03-24,
238,9,112,07-16-24,08-01-24,1.06
239,322,157,06-05-24,06-25-24,
240,1,152,04-09-24,04-26-24,
241,106,140,02-18-24,03-12-24,
242,394,266,07-19-24,08-07-24,
243,208,377,05-09-24,05-28-24,
244,486,256,01-08-24,01-22-24,
245,326,206,06-01-24,06-14-24,
246,59,282,03-22-24,03-29-24,
247,482,163,01-08-24,01-23-24,
248,46,390,01-11-24,,
249,298,137,06-20-24,06-27-24,
250,256,331,05-23-24,06-17-24,
251,355,198,09-16-24,09-27-24,
252,51,167,05-07-24,06-01-24,
253,439,250,07-09-24,08-05-24,
254,443,226,03-18-24,04-06-24,4.68
255,378,223,01-28-24,02-13-24,
256,73,132,01-26-24,02-04-24,2.32
257,277,271,05-28-24,06-14-24,
258,388,362,08-07-24,08-23-24,
259,370,191,04-28-24,,
260,400,334,07-16-24,07-27-24,
261,312,380,08-04-24,08-23-24,
262,254,323,01-07-24,01-18-24,
263,73,142,02-23-24,03-18-24,2.95
264,132,109,09-25-24,,
265,247,398,07-15-24,08-03-24,
266,287,178,03-25-24,04-13-24,
267,24,148,09-28-24,10-19-24,
268,387,238,02-04-24,02-12-24,
269,52,211,04-12-24,04-23-24,0.72
270,4,246,09-13-24,09-18-24,
271,211,293,09-07-24,09-24-24,
272,220,136,01-23-24,02-18-24,
273,162,311,08-22-24,09-16-24,
274,473,269,03-06-24,03-25-24,
275,374,131,02-26-24,03-04-24,0.1
276,378,371,06-13-24,06-19-24,
277,163,180,01-17-24,01-30-24,
278,144,229,05-04-24,06-01-24,
279,237,104,03-10-24,03-21-24,
280,442,256,08-05-24,08-20-24,
281,345,380,05-02-24,05-16-24,2.87
282,202,234,08-03-24,08-20-24,3.55
283,478,197,03-29-24,04-15-24,2.56
284,48,127,06-24-24,07-08-24,1.92
285,321,308,01-07-24,01-18-24,
286,385,122,10-01-24,10-29-24,
287,159,344,09-15-24,09-22-24,
288,179,170,04-09-24,04-26-24,
289,209,333,06-10-24,06-17-24,
290,213,126,01-13-24,02-10-24,
291,251,232,06-15-24,07-12-24,3.72
292,365,204,06-14-24,07-04-24,
293,218,181,09-18-24,,
294,369,297,07-23-24,08-11-24,1.42
295,141,219,09-30-24,10-24-24,
296,187,334,05-07-24,05-18-24,
297,160,316,05-05-24,05-21-24,
298,339,122,05-19-24,06-11-24,
299,91,270,02-10-24,03-02-24,
300,447,124,09-25-24,10-25-24,
301,102,223,08-03-24,,
302,212,115,08-01-24,08-09-24,
303,99,194,01-01-24,01-16-24,
304,247,164,02-09-24,02-16-24,
305,171,287,03-27-24,04-01-24,
306,356,225,04-24-24,05-09-24,
307,145,283,08-04-24,08-29-24,
308,66,166,04-05-24,04-11-24,
309,294,308,04-24-24,04-29-24,
310,19,324,04-13-24,05-12-24,
311,110,272,01-14-24,01-21-24,
312,284,345,03-20-24,04-14-24,
313,253,396,07-23-24,07-31-24,
314,352,113,07-12-24,08-04-24,
315,415,388,05-29-24,,
316,445,197,04-10-24,05-03-24,
317,120,334,04-07-24,04-14-24,
318,431,278,02-08-24,02-26-24,
319,74,248,05-31-24,06-26-24,
320,21,279,08-08-24,08-21-24,
321,314,244,06-24-24,07-24-24,
322,294,257,04-23-24,05-22-24,1.18
323,369,367,07-22-24,08-13-24,
324,61,346,03-06-24,,
325,313,392,04-26-24,05-10-24,
326,346,219,05-28-24,06-22-24,
327,410,176,05-23-24,06-18-24,
328,36,301,08-23-24,09-05-24,
329,428,305,06-08-24,07-05-24,
330,264,192,04-29-24,05-13-24,
331,454,136,05-03-24,05-14-24,1.88
332,400,167,06-12-24,06-22-24,4.9
333,127,331,03-15-24,04-10-24,
334,261,244,02-07-24,03-03-24,
335,225,142,03-20-24,04-06-24,
336,262,326,05-04-24,05-21-24,
337,426,388,01-14-24,02-04-24,0.32
338,293,269,06-23-24,07-13-24,
339,128,203,04-06-24,04-29-24,
340,255,196,07-07-24,07-13-24,3.97
341,496,222,01-16-24,02-13-24,1.02
342,479,377,06-12-24,06-27-24,
343,209,312,05-02-24,05-11-24,
344,390,112,07-31-24,08-16-24,
345,228,167,04-12-24,04-18-24,3.16
346,201,308,06-22-24,07-16-24,1.17
347,19,155,06-29-24,07-17-24,1.93
348,487,167,08-30-24,09-13-24,
349,465,331,04-08-24,04-25-24,4.14
350,490,114,05-08-24,05-30-24,
351,375,115,04-04-24,04-09-24,
352,53,305,08-19-24,09-11-24,
353,142,165,02-19-24,03-07-24,
354,188,200,04-15-24,04-20-24,
355,420,115,08-25-24,09-10-24,
356,352,292,09-15-24,10-04-24,
357,19,379,02-11-24,03-04-24,
358,191,164,06-15-24,,
359,209,206,01-09-24,,
360,329,219,05-20-24,05-28-24,
361,420,226,08-11-24,09-05-24,3.53
362,63,160,03-22-24,04-04-24,0.69
363,476,316,07-31-24,08-17-24,
364,52,274,02-14-24,03-11-24,
365,75,136,08-28-24,09-05-24,
366,77,243,02-17-24,03-06-24,
367,484,254,03-12-24,03-22-24,
368,407,236,02-16-24,03-12-24,
369,271,383,05-09-24,05-25-24,
370,103,149,09-27-24,,
371,218,364,06-18-24,07-06-24,
372,338,195,01-01-24,01-29-24,
373,128,270,04-08-24,04-18-24,
374,264,391,06-11-24,06-20-24,1.2
375,236,234,07-03-24,07-29-24,
376,309,283,08-01-24,,
377,20,105,04-10-24,05-02-24,3.82
378,86,364,01-13-24,02-10-24,
379,283,260,07-29-24,08-20-24,
380,459,296,08-19-24,09-02-24,
381,280,140,03-12-24,03-31-24,
382,446,152,04-16-24,05-07-24,
383,461,249,05-18-24,,
384,256,162,05-26-24,06-17-24,
385,333,390,05-16-24,06-11-24,
386,359,133,05-24-24,06-18-24,
387,141,311,02-17-24,03-16-24,
388,247,365,05-28-24,06-25-24,3.71
389,89,209,09-21-24,,
390,309,175,02-16-24,02-23-24,
391,87,306,03-03-24,03-08-24,2.98
392,51,140,01-14-24,02-03-24,
393,290,177,01-29-24,02-24-24,
394,33,240,05-30-24,06-08-24,
395,313,320,09-03-24,09-10-24,
396,467,290,07-24-24,08-20-24,2.35
397,364,149,05-12-24,05-26-24,
398,393,297,03-26-24,04-05-24,
399,46,348,04-06-24,05-06-24,
400,181,257,08-29-24,09-27-24,1.91
401,226,265,09-26-24,10-16-24,
402,264,305,08-04-24,09-03-24,
403,117,315,05-02-24,05-08-24,
404,353,350,07-28-24,,
405,98,266,09-16-24,10-14-24,
406,177,121,07-31-24,08-29-24,
407,493,388,04-28-24,05-08-24,
408,186,354,06-16-24,07-07-24,
409,131,280,01-05-24,01-26-24,
410,17,137,06-27-24,07-19-24,
411,476,188,05-04-24,05-31-24,
412,494,200,09-13-24,10-02-24,3.62
413,233,395,01-25-24,02-02-24,3.39
414,342,399,07-28-24,08-18-24,3.2
415,139,322,05-17-24,05-24-24,0.03
416,421,262,04-11-24,,
417,451,101,06-28-24,07-15-24,
418,383,276,05-05-24,06-03-24,
419,482,321,07-26-24,08-01-24,
420,182,153,07-07-24,08-05-24,
421,124,185,02-14-24,02-28-24,
422,161,393,02-06-24,03-02-24,1.79
423,182,321,03-28-24,,
424,128,376,06-24-24,07-20-24,
425,290,226,01-08-24,01-21-24,
426,37,251,01-04-24,,
427,98,257,06-13-24,06-21-24,
428,447,119,02-24-24,03-22-24,4.07
429,48,306,03-02-24,03-24-24,
430,189,319,09-15-24,09-30-24,
431,432,398,03-07-24,04-03-24,
432,471,194,05-09-24,05-31-24,
433,170,368,03-03-24,,
434,338,240,01-08-24,01-16-24,
435,206,199,04-16-24,,
436,243,269,01-23-24,02-19-24,
437,75,279,09-02-24,09-08-24,
438,109,332,01-08-24,01-29-24,
439,71,389,07-05-24,07-11-24,
440,141,366,03-24-24,,
441,403,168,03-07-24,,
442,463,173,05-20-24,05-25-24,
443,111,333,03-05-24,03-26-24,
444,301,342,05-19-24,06-01-24,
445,386,170,06-28-24,07-18-24,
446,8,354,02-04-24,02-09-24,4.5
447,217,400,09-26-24,,
448,463,327,06-11-24,07-09-24,
449,315,320,07-31-24,08-14-24,
450,90,354,02-12-24,03-01-24,
451,491,260,02-12-24,03-06-24,
452,431,372,03-14-24,,
453,118,104,01-17-24,02-04-24,1.41
454,458,375,09-28-24,10-12-24,
455,189,387,01-23-24,02-07-24,
456,438,195,07-21-24,08-14-24,
457,473,253,05-29-24,,
458,338,136,09-24-24,10-16-24,
459,224,352,01-10-24,01-24-24,3.13
460,368,269,06-16-24,07-10-24,
461,450,108,04-15-24,04-26-24,
462,276,303,09-28-24,10-28-24,2.38
463,66,156,08-14-24,08-24-24,1.72
464,194,301,07-18-24,07-29-24,
465,440,205,08-27-24,09-24-24,2.99
466,464,289,04-27-24,05-12-24,0.69
467,158,126,09-09-24,10-06-24,
468,446,301,09-01-24,,
469,63,374,04-10-24,05-03-24,
470,248,308,01-18-24,01-25-24,
471,312,129,07-29-24,08-08-24,
472,230,275,01-16-24,01-28-24,
473,357,200,06-26-24,07-17-24,
474,46,221,06-03-24,06-13-24,1.23
475,97,287,08-21-24,08-30-24,4.44
476,122,311,03-20-24,04-19-24,
477,386,358,06-05-24,07-04-24,
478,143,153,09-04-24,09-12-24,
479,86,197,09-25-24,10-13-24,
480,264,351,05-26-24,06-19-24,
481,80,312,07-16-24,07-24-24,
482,376,189,07-14-24,08-04-24,3.95
483,46,305,02-01-24,02-06-24,0.36
484,436,349,02-10-24,02-20-24,
485,9,197,02-15-24,03-08-24,
486,128,151,08-08-24,08-30-24,
487,172,162,01-19-24,02-05-24,
488,460,157,01-06-24,01-15-24,
489,28,360,05-22-24,06-17-24,2.42
490,442,154,07-14-24,07-29-24,
491,38,195,06-13-24,06-29-24,
492,74,320,03-22-24,04-07-24,
493,223,142,06-29-24,07-07-24,
494,177,205,01-19-24,,
495,227,116,08-07-24,08-15-24,
496,473,355,09-25-24,10-16-24,
497,236,212,07-16-24,08-11-24,
498,335,143,07-12-24,07-24-24,2.9
499,224,151,05-30-24,06-16-24,
500,282,392,06-16-24,07-14-24,
501,497,321,03-31-24,04-29-24,0.45
502,133,307,03-17-24,03-31-24,
503,391,205,07-06-24,07-13-24,
504,76,302,08-20-24,09-15-24,2.25
505,137,281,09-20-24,09-25-24,
506,221,172,01-27-24,02-14-24,
507,482,273,02-20-24,03-17-24,
508,50,125,04-29-24,05-11-24,
509,315,204,09-15-24,09-27-24,
510,186,123,07-08-24,,
511,97,179,08-20-24,08-31-24,
512,472,392,08-04-24,08-20-24,
513,478,268,06-20-24,07-04-24,0.15
514,327,321,04-19-24,04-29-24,
515,49,119,09-24-24,10-07-24,0.71
516,134,358,01-18-24,,
517,370,309,07-18-24,08-05-24,
518,143,377,02-20-24,03-01-24,2.39
519,224,300,08-25-24,09-18-24,1.88
520,158,123,06-14-24,07-08-24,
521,253,304,03-05-24,04-02-24,1.31
522,230,225,05-19-24,06-03-24,
523,36,299,06-09-24,07-02-24,
524,300,269,06-15-24,06-28-24,
525,221,232,04-19-24,05-11-24,
526,296,229,03-19-24,04-18-24,
527,121,325,03-15-24,04-02-24,4.59
528,356,322,06-01-24,06-20-24,2.72
529,240,244,06-11-24,06-21-24,
530,225,168,04-20-24,04-25-24,
531,334,368,06-11-24,06-30-24,
532,359,356,02-28-24,03-08-24,
533,105,161,04-04-24,,
534,98,153,02-16-24,03-15-24,
535,125,143,04-07-24,04-19-24,
536,488,399,01-12-24,02-10-24,
537,183,132,05-26-24,06-17-24,
538,176,392,06-01-24,06-13-24,
539,190,330,08-14-24,09-05-24,
540,281,102,05-29-24,06-16-24,
541,483,229,05-22-24,06-02-24,1.11
542,126,111,03-16-24,,
543,164,338,08-28-24,09-11-24,
544,410,275,02-01-24,02-26-24,
545,111,295,04-09-24,05-06-24,4.47
546,27,381,01-19-24,01-30-24,
547,494,236,07-26-24,08-10-24,1.6
548,454,346,07-25-24,08-10-24,
549,74,260,05-27-24,06-13-24,
550,159,261,03-10-24,04-03-24,
551,219,252,01-19-24,01-26-24,
552,145,206,05-22-24,06-18-24,
553,192,165,07-10-24,07-24-24,
554,460,324,03-30-24,04-18-24,
555,7,208,06-24-24,07-05-24,
556,408,352,05-07-24,05-24-24,
557,238,272,03-04-24,03-19-24,
558,345,263,03-31-24,04-05-24,
559,144,223,04-07-24,05-06-24,
560,480,102,08-16-24,09-08-24,
561,351,286,07-11-24,,
562,131,389,06-23-24,07-21-24,
563,486,250,05-26-24,06-16-24,
564,300,188,03-29-24,04-11-24,2.91
565,369,305,07-23-24,08-19-24,
566,369,263,09-18-24,10-02-24,
567,421,345,06-29-24,07-19-24,4.95
568,470,137,07-13-24,07-24-24,
569,486,353,08-29-24,,
570,266,132,06-26-24,07-19-24,
571,354,344,02-25-24,03-13-24,
572,310,186,08-24-24,09-08-24,1.56
573,471,361,03-24-24,04-12-24,
574,303,380,07-13-24,,
575,381,189,02-24-24,03-06-24,
576,141,177,05-23-24,06-21-24,1
577,261,166,01-27-24,02-26-24,
578,18,365,08-22-24,09-19-24,
579,490,305,09-08-24,,
580,296,166,05-02-24,05-29-24,
581,397,214,07-09-24,,
582,492,148,05-22-24,06-07-24,
583,154,269,07-16-24,07-27-24,0.33
584,350,336,06-14-24,,
585,110,171,03-07-24,03-26-24,4.87
586,475,187,01-20-24,02-13-24,
587,191,351,08-10-24,09-01-24,
588,17,299,09-14-24,09-22-24,
589,437,296,06-02-24,06-30-24,4.05
590,34,236,04-21-24,,
591,340,301,03-17-24,03-22-24,4.78
592,111,356,05-05-24,,
593,184,277,02-09-24,02-19-24,
594,208,217,06-22-24,06-29-24,
595,161,311,08-12-24,09-09-24,3.72
596,418,353,10-01-24,10-22-24,
597,403,236,06-27-24,07-03-24,
598,429,269,04-21-24,,
599,41,152,09-28-24,10-05-24,
600,283,312,07-28-24,08-07-24,
601,411,395,05-07-24,05-31-24,
602,468,218,05-12-24,06-06-24,1.52
603,412,182,01-27-24,02-26-24,
604,154,323,08-19-24,09-03-24,
605,488,165,03-19-24,04-14-24,
606,467,110,06-09-24,07-08-24,3.93
607,87,165,03-22-24,04-10-24,
608,355,198,04-26-24,05-12-24,1.46
609,211,146,07-01-24,07-06-24,
610,368,264,07-16-24,08-15-24,
611,250,314,05-17-24,05-25-24,
612,408,372,06-23-24,06-28-24,
613,377,158,08-08-24,09-05-24,
614,106,357,01-22-24,01-31-24,
615,344,378,04-27-24,05-07-24,
616,411,302,01-27-24,02-18-24,
617,418,181,01-19-24,02-15-24,
618,32,391,02-10-24,02-28-24,
619,230,302,03-17-24,04-02-24,
620,356,179,04-10-24,04-17-24,
621,180,292,07-09-24,07-19-24,
622,139,365,09-17-24,10-11-24,2.32
623,68,328,09-12-24,10-09-24,
624,303,373,03-26-24,04-23-24,4.77
625,481,124,03-20-24,,
626,335,377,06-28-24,07-16-24,
627,206,185,07-21-24,07-29-24,
628,338,336,07-13-24,07-24-24,
629,211,375,09-27-24,10-18-24,
630,118,210,04-05-24,04-10-24,2.21
631,436,219,03-14-24,03-27-24,2.31
632,395,216,01-01-24,01-20-24,
633,100,285,05-07-24,05-27-24,
634,79,166,07-21-24,08-18-24,
635,63,330,03-13-24,04-04-24,3.74
636,435,197,01-26-24,01-31-24,
637,220,213,06-01-24,06-29-24,
638,132,347,01-04-24,01-10-24,
639,204,301,04-30-24,05-13-24,
640,41,376,07-18-24,,
641,23,355,05-18-24,05-26-24,
642,97,290,06-23-24,06-30-24,
643,359,335,05-15-24,05-28-24,
644,122,302,07-15-24,08-11-24,
645,309,184,05-26-24,06-16-24,1.57
646,285,274,06-30-24,07-15-24,
647,455,270,02-24-24,03-07-24,
648,321,350,06-20-24,07-16-24,
649,196,203,08-09-24,08-15-24,
650,197,293,01-25-24,02-16-24,0.85
651,411,276,06-12-24,07-03-24,
652,187,251,02-18-24,02-23-24,
653,326,360,02-01-24,02-24-24,0.22
654,13,207,04-11-24,04-30-24,
655,246,143,09-13-24,09-22-24,
656,465,348,05-21-24,05-27-24,2.36
657,483,301,05-17-24,06-05-24,
658,58,169,07-11-24,08-08-24,
659,449,226,03-21-24,04-16-24,
660,461,189,05-10-24,05-29-24,
661,462,123,08-22-24,09-02-24,
662,41,256,01-04-24,01-19-24,
663,458,208,07-01-24,07-21-24,2.82
664,137,269,06-27-24,07-03-24,4.52
665,139,241,05-18-24,05-27-24,
666,69,225,09-02-24,09-27-24,
667,291,373,09-20-24,09-26-24,2.91
668,100,222,08-08-24,09-02-24,
669,392,318,09-28-24,10-28-24,
670,287,278,08-14-24,09-05-24,
671,196,170,05-27-24,06-25-24,
672,247,279,07-05-24,08-03-24,0.62
673,321,214,03-25-24,,
674,95,351,03-13-24,04-03-24,
675,242,311,09-20-24,09-29-24,
676,455,277,07-30-24,,
677,346,165,04-22-24,04-27-24,
678,97,202,08-10-24,,
679,317,168,06-19-24,07-08-24,
680,334,338,09-08-24,09-26-24,0.24
681,385,336,03-13-24,04-09-24,
682,204,377,04-07-24,04-24-24,3.66
683,170,329,06-24-24,,
684,29,319,03-23-24,04-22-24,
685,380,248,09-23-24,10-08-24,
686,174,258,01-18-24,02-07-24,
687,216,130,03-06-24,04-02-24,
688,349,193,06-27-24,07-19-24,0.05
689,273,223,07-02-24,07-24-24,
690,135,271,08-10-24,,
691,473,257,04-16-24,05-10-24,4.08
692,272,370,09-10-24,09-25-24,
693,321,345,08-31-24,09-18-24,3.84
694,265,213,08-25-24,09-21-24,
695,155,103,03-04-24,03-31-24,
696,457,374,05-06-24,05-30-24,0.85
697,209,143,02-23-24,03-08-24,2.19
698,58,349,05-13-24,05-27-24,
699,199,235,05-20-24,06-16-24,
700,494,118,09-30-24,10-27-24,4.8
701,2,205,01-16-24,01-31-24,
702,27,112,05-20-24,05-30-24,
703,460,270,04-11-24,05-01-24,
704,262,106,03-08-24,04-03-24,
705,161,250,07-04-24,07-23-24,
706,259,281,03-18-24,03-27-24,
707,349,147,06-08-24,06-25-24,
708,237,223,04-23-24,05-10-24,
709,283,183,07-05-24,08-02-24,
710,249,249,08-25-24,09-23-24,
711,414,386,05-23-24,06-19-24,
712,135,251,07-31-24,08-25-24,
713,347,322,02-26-24,03-24-24,
714,213,344,05-30-24,06-25-24,0.55
715,399,190,01-12-24,02-02-24,
716,246,366,06-10-24,06-17-24,0.1
717,471,344,06-07-24,,
718,189,172,08-10-24,,
719,346,191,01-18-24,,
720,375,163,07-08-24,07-14-24,
721,112,380,02-02-24,02-27-24,
722,60,249,09-07-24,09-25-24,
723,377,373,03-31-24,,
724,204,118,04-15-24,04-23-24,2.74
725,423,198,04-16-24,04-22-24,
726,306,312,03-29-24,04-26-24,
727,262,138,05-11-24,05-22-24,
728,238,174,07-07-24,07-14-24,3.43
729,399,190,03-30-24,04-20-24,4.9
730,89,308,07-18-24,08-12-24,3.3
